INFO:root:Processed 0 repos
INFO:root:Cloning repo as it doesn't exist
DEBUG:git.cmd:Popen(['git', 'version'], cwd=/home/wpgbrown/CS4529/data_collection/git_blame, universal_newlines=False, shell=None, istream=None)
DEBUG:git.cmd:Popen(['git', 'clone', '-v', '--bare', '--progress', '--', 'https://gerrit.wikimedia.org/r/mediawiki%2Fextensions%2F3D.git', '/home/wpgbrown/CS4529/data_collection/raw_data/git_bare_repos/mediawiki-extensions-3D'], cwd=/home/wpgbrown/CS4529/data_collection/git_blame, universal_newlines=True, shell=None, istream=None)
DEBUG:root:Op code: 5, Current count: 1.0, Max count: , Progress done: 0, Message: 
DEBUG:root:Op code: 32, Current count: 1906.0, Max count: 2094.0, Progress done: 0, Message: 963.70 KiB | 115.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1927.0, Max count: 2094.0, Progress done: 0, Message: 963.70 KiB | 115.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1948.0, Max count: 2094.0, Progress done: 0, Message: 963.70 KiB | 115.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1969.0, Max count: 2094.0, Progress done: 0, Message: 963.70 KiB | 115.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1990.0, Max count: 2094.0, Progress done: 0, Message: 963.70 KiB | 115.00 KiB/s
DEBUG:root:Op code: 32, Current count: 2011.0, Max count: 2094.0, Progress done: 0, Message: 963.70 KiB | 115.00 KiB/s
DEBUG:root:Op code: 32, Current count: 2032.0, Max count: 2094.0, Progress done: 0, Message: 963.70 KiB | 115.00 KiB/s
DEBUG:root:Op code: 32, Current count: 2053.0, Max count: 2094.0, Progress done: 0, Message: 963.70 KiB | 115.00 KiB/s
DEBUG:root:Op code: 32, Current count: 2074.0, Max count: 2094.0, Progress done: 0, Message: 963.70 KiB | 115.00 KiB/s
DEBUG:root:Op code: 32, Current count: 2094.0, Max count: 2094.0, Progress done: 1, Message: 963.70 KiB | 115.00 KiB/s
DEBUG:root:Op code: 34, Current count: 2094.0, Max count: 2094.0, Progress done: 1, Message: 1.01 MiB | 113.00 KiB/s
DEBUG:root:Op code: 65, Current count: 0.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 204.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 469.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 546.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 575.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 747.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 809.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 810.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 827.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 846.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 922.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 959.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 970.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 983.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 997.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 1011.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 1025.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 1038.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 1053.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 1066.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 1085.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 1095.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 1111.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 1123.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 1138.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 1166.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 1184.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 1223.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 1278.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 1298.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 1329.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 1339.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 1350.0, Max count: 1421.0, Progress done: 0, Message: 
DEBUG:root:Op code: 64, Current count: 1421.0, Max count: 1421.0, Progress done: 1, Message: 
DEBUG:root:Op code: 66, Current count: 1421.0, Max count: 1421.0, Progress done: 1, Message: 
DEBUG:root:Fetching heads after clone
DEBUG:git.cmd:Popen(['git', 'version'], cwd=/home/wpgbrown/CS4529/data_collection/raw_data/git_bare_repos/mediawiki-extensions-3D, universal_newlines=False, shell=None, istream=None)
